   Compiling fold v0.1.0 (/Users/michaelrauh/dev/fold)
    Finished `release` profile [optimized] target(s) in 2.68s
     Running `target/release/fold`
[fold] Starting fold processing
[fold] Input directory: ./fold_state/input
[fold] Starting fresh
[memory_config] Total system RAM: 16384 MB
[memory_config] Target memory usage: 12288 MB (75%)
[memory_config] Interner size: 0 MB
[memory_config] Runtime reserve: 2457 MB
[memory_config] Available for caches: 9830 MB

[memory_config] ===== MEMORY CONFIGURATION =====
[memory_config] Queue buffer size: 100000 orthos (~19 MB per queue)
[memory_config] Bloom capacity: 1000000 items (~1 MB)
[memory_config] Shards: 64 total, 64 in memory (~7 MB)
[memory_config] Estimated total: 2504 MB
[memory_config] ================================

[fold] Found 29 file(s) to process

[fold] Processing file: ./fold_state/input/e_chunk_0001.txt
[fold] Interner version: 1
[fold] Vocabulary size: 496
[fold] Seeding with empty ortho id=2206609067086327257, version=1
[fold] Processed 113000 orthos, queue size: 56024, seen: 169024
[fold] Processed 114000 orthos, queue size: 55656, seen: 169656
[fold] Processed 115000 orthos, queue size: 55502, seen: 170502
[fold] Processed 116000 orthos, queue size: 55650, seen: 171650
[fold] Processed 117000 orthos, queue size: 55995, seen: 172995
[fold] Processed 118000 orthos, queue size: 56046, seen: 174046
[fold] Processed 119000 orthos, queue size: 56697, seen: 175697
[fold] Processed 120000 orthos, queue size: 57840, seen: 177840
[fold] Processed 121000 orthos, queue size: 59460, seen: 180460
[fold] Processed 122000 orthos, queue size: 59373, seen: 181373
[fold] Processed 123000 orthos, queue size: 58463, seen: 181463
[fold] Processed 124000 orthos, queue size: 58001, seen: 182001
[fold] Processed 125000 orthos, queue size: 58047, seen: 183047
[fold] Processed 126000 orthos, queue size: 58005, seen: 184005
[fold] Processed 127000 orthos, queue size: 57840, seen: 184840
[fold] Processed 128000 orthos, queue size: 58068, seen: 186068
[fold] Processed 129000 orthos, queue size: 57976, seen: 186976
[fold] Processed 130000 orthos, queue size: 57998, seen: 187998
[fold] Processed 131000 orthos, queue size: 57724, seen: 188724
[fold] Processed 132000 orthos, queue size: 58401, seen: 190401
[fold] Processed 133000 orthos, queue size: 59323, seen: 192323
[fold] Processed 134000 orthos, queue size: 60590, seen: 194590
[fold] Processed 135000 orthos, queue size: 62643, seen: 197643
[fold] Processed 136000 orthos, queue size: 65140, seen: 201140
[fold] Processed 137000 orthos, queue size: 66347, seen: 203347
[fold] Processed 138000 orthos, queue size: 67454, seen: 205454
[fold] Processed 139000 orthos, queue size: 68469, seen: 207469
[fold] Processed 140000 orthos, queue size: 69652, seen: 209652
[fold] Processed 141000 orthos, queue size: 74655, seen: 215655
[fold] Processed 142000 orthos, queue size: 80034, seen: 222034
[fold] Processed 143000 orthos, queue size: 86027, seen: 229027
[fold] Processed 144000 orthos, queue size: 90120, seen: 234120
[fold] Processed 145000 orthos, queue size: 93540, seen: 238540
[fold] Processed 146000 orthos, queue size: 100208, seen: 246208
[fold] Processed 147000 orthos, queue size: 105933, seen: 252933
[fold] Processed 148000 orthos, queue size: 109405, seen: 257405
[fold] Processed 149000 orthos, queue size: 109372, seen: 258372
[fold] Processed 150000 orthos, queue size: 108860, seen: 258860
[fold] Processed 151000 orthos, queue size: 110301, seen: 261301
[fold] Processed 152000 orthos, queue size: 111922, seen: 263922
[fold] Processed 153000 orthos, queue size: 113711, seen: 266711
[fold] Processed 154000 orthos, queue size: 115982, seen: 269982
[fold] Processed 155000 orthos, queue size: 117673, seen: 272673
[fold] Processed 156000 orthos, queue size: 117422, seen: 273422
[fold] Processed 157000 orthos, queue size: 117816, seen: 274816
[fold] Processed 158000 orthos, queue size: 118225, seen: 276225
[fold] Processed 159000 orthos, queue size: 119354, seen: 278354
[fold] Processed 160000 orthos, queue size: 126221, seen: 286221
[fold] Processed 161000 orthos, queue size: 126753, seen: 287753
[fold] Processed 162000 orthos, queue size: 138215, seen: 300215
[fold] Processed 163000 orthos, queue size: 139916, seen: 302916
[fold] Processed 164000 orthos, queue size: 140917, seen: 304917
[fold] Processed 165000 orthos, queue size: 142468, seen: 307468
[fold] Processed 166000 orthos, queue size: 143061, seen: 309061
[fold] Processed 167000 orthos, queue size: 142663, seen: 309663
[fold] Processed 168000 orthos, queue size: 150262, seen: 318262
[fold] Processed 169000 orthos, queue size: 157575, seen: 326575
[fold] Processed 170000 orthos, queue size: 162779, seen: 332779
[fold] Processed 171000 orthos, queue size: 166314, seen: 337314
[fold] Processed 172000 orthos, queue size: 176500, seen: 348500
[fold] Processed 173000 orthos, queue size: 178286, seen: 351286
[fold] Processed 174000 orthos, queue size: 181593, seen: 355593
[fold] Processed 175000 orthos, queue size: 189734, seen: 364734
[fold] Processed 176000 orthos, queue size: 196076, seen: 372076
[fold] Processed 177000 orthos, queue size: 196800, seen: 373800
[fold] Processed 178000 orthos, queue size: 211193, seen: 389193
[fold] Processed 179000 orthos, queue size: 225749, seen: 404749
[fold] Processed 180000 orthos, queue size: 242043, seen: 422043
[fold] Processed 181000 orthos, queue size: 278794, seen: 459794
[fold] Processed 182000 orthos, queue size: 294954, seen: 476954
[fold] Processed 183000 orthos, queue size: 300120, seen: 483120
[fold] Processed 184000 orthos, queue size: 305841, seen: 489841
[fold] Processed 185000 orthos, queue size: 310472, seen: 495472
[fold] Processed 186000 orthos, queue size: 315677, seen: 501677
[fold] Processed 187000 orthos, queue size: 319614, seen: 506614
[fold] Processed 188000 orthos, queue size: 322189, seen: 510189
[fold] Processed 189000 orthos, queue size: 333666, seen: 522666
[fold] Processed 190000 orthos, queue size: 378896, seen: 568896
[fold] Processed 191000 orthos, queue size: 384966, seen: 575966
[fold] Processed 192000 orthos, queue size: 390799, seen: 582799
[fold] Processed 193000 orthos, queue size: 395535, seen: 588535
[fold] Processed 194000 orthos, queue size: 401026, seen: 595026
[fold] Processed 195000 orthos, queue size: 409147, seen: 604147
[fold] Processed 196000 orthos, queue size: 416930, seen: 612930
[fold] Processed 197000 orthos, queue size: 417354, seen: 614354
[fold] Processed 198000 orthos, queue size: 418716, seen: 616716
[fold] Processed 199000 orthos, queue size: 419927, seen: 618927
[fold] Processed 200000 orthos, queue size: 420713, seen: 620713
[fold] Processed 201000 orthos, queue size: 421503, seen: 622503
[fold] Processed 202000 orthos, queue size: 422267, seen: 624267
[fold] Processed 203000 orthos, queue size: 423066, seen: 626066
[fold] Processed 204000 orthos, queue size: 424098, seen: 628098
[fold] Processed 205000 orthos, queue size: 425179, seen: 630179
[fold] Processed 206000 orthos, queue size: 426556, seen: 632556
[fold] Processed 207000 orthos, queue size: 426981, seen: 633981
[fold] Processed 208000 orthos, queue size: 428327, seen: 636327
[fold] Processed 209000 orthos, queue size: 430137, seen: 639137
[fold] Processed 210000 orthos, queue size: 429660, seen: 639660
[fold] Processed 211000 orthos, queue size: 429387, seen: 640387
[fold] Processed 212000 orthos, queue size: 429415, seen: 641415
[fold] Processed 213000 orthos, queue size: 429486, seen: 642486
[fold] Processed 214000 orthos, queue size: 429664, seen: 643664
[fold] Processed 215000 orthos, queue size: 430045, seen: 645045
[fold] Processed 216000 orthos, queue size: 430378, seen: 646378
[fold] Processed 217000 orthos, queue size: 430353, seen: 647353
[fold] Processed 218000 orthos, queue size: 430666, seen: 648666
[fold] Processed 219000 orthos, queue size: 434408, seen: 653408
[fold] Processed 220000 orthos, queue size: 437627, seen: 657627
[fold] Processed 221000 orthos, queue size: 437600, seen: 658600
[fold] Processed 222000 orthos, queue size: 437732, seen: 659732
[fold] Processed 223000 orthos, queue size: 438614, seen: 661614
[fold] Processed 224000 orthos, queue size: 439495, seen: 663495
[fold] Processed 225000 orthos, queue size: 439569, seen: 664569
[fold] Processed 226000 orthos, queue size: 439559, seen: 665559
[fold] Processed 227000 orthos, queue size: 440026, seen: 667026
[fold] Processed 228000 orthos, queue size: 440852, seen: 668852
[fold] Processed 229000 orthos, queue size: 442515, seen: 671515
[fold] Processed 230000 orthos, queue size: 444339, seen: 674339
[fold] Processed 231000 orthos, queue size: 445137, seen: 676137
[fold] Processed 232000 orthos, queue size: 445091, seen: 677091
[fold] Processed 233000 orthos, queue size: 446686, seen: 679686
[fold] Processed 234000 orthos, queue size: 493787, seen: 727787
[fold] Processed 235000 orthos, queue size: 528096, seen: 763096
[fold] Processed 236000 orthos, queue size: 528129, seen: 764129
[fold] Processed 237000 orthos, queue size: 529593, seen: 766593
[fold] Processed 238000 orthos, queue size: 530032, seen: 768032
[fold] Processed 239000 orthos, queue size: 530901, seen: 769901
[fold] Processed 240000 orthos, queue size: 531045, seen: 771045
[fold] Processed 241000 orthos, queue size: 531028, seen: 772028
[fold] Processed 242000 orthos, queue size: 530953, seen: 772953
[fold] Processed 243000 orthos, queue size: 530923, seen: 773923
[fold] Processed 244000 orthos, queue size: 531214, seen: 775214
[fold] Processed 245000 orthos, queue size: 533475, seen: 778475
[fold] Processed 246000 orthos, queue size: 534706, seen: 780706
[fold] Processed 247000 orthos, queue size: 537197, seen: 784197
[fold] Processed 248000 orthos, queue size: 537932, seen: 785932
[fold] Processed 249000 orthos, queue size: 538798, seen: 787798
[fold] Processed 250000 orthos, queue size: 539677, seen: 789677
[fold] Processed 251000 orthos, queue size: 540602, seen: 791602
[fold] Processed 252000 orthos, queue size: 541460, seen: 793460
[fold] Processed 253000 orthos, queue size: 542352, seen: 795352
[fold] Processed 254000 orthos, queue size: 543704, seen: 797704
[fold] Processed 255000 orthos, queue size: 545220, seen: 800220
[fold] Processed 256000 orthos, queue size: 546220, seen: 802220
[fold] Processed 257000 orthos, queue size: 547085, seen: 804085
[fold] Processed 258000 orthos, queue size: 547971, seen: 805971
[fold] Processed 259000 orthos, queue size: 548836, seen: 807836
[fold] Processed 260000 orthos, queue size: 549715, seen: 809715
[fold] Processed 261000 orthos, queue size: 550913, seen: 811913
[fold] Processed 262000 orthos, queue size: 552518, seen: 814518
[fold] Processed 263000 orthos, queue size: 553585, seen: 816585
[fold] Processed 264000 orthos, queue size: 553315, seen: 817315
[fold] Processed 265000 orthos, queue size: 552953, seen: 817953
[fold] Processed 266000 orthos, queue size: 552535, seen: 818535
[fold] Processed 267000 orthos, queue size: 552070, seen: 819070
[fold] Processed 268000 orthos, queue size: 551857, seen: 819857
[fold] Processed 269000 orthos, queue size: 551158, seen: 820158
[fold] Processed 270000 orthos, queue size: 550327, seen: 820327
[fold] Processed 271000 orthos, queue size: 549472, seen: 820472
[fold] Processed 272000 orthos, queue size: 548692, seen: 820692
[fold] Processed 273000 orthos, queue size: 547806, seen: 820806
[fold] Processed 274000 orthos, queue size: 546941, seen: 820941
[fold] Processed 275000 orthos, queue size: 546135, seen: 821135
[fold] Processed 276000 orthos, queue size: 545333, seen: 821333
[fold] Processed 277000 orthos, queue size: 544527, seen: 821527
[fold] Processed 278000 orthos, queue size: 543728, seen: 821728
[fold] Processed 279000 orthos, queue size: 542901, seen: 821901
[fold] Processed 280000 orthos, queue size: 542511, seen: 822511
[fold] Processed 281000 orthos, queue size: 541993, seen: 822993
[fold] Processed 282000 orthos, queue size: 541686, seen: 823686
[fold] Processed 283000 orthos, queue size: 541391, seen: 824391
[fold] Processed 284000 orthos, queue size: 540564, seen: 824564
[fold] Processed 285000 orthos, queue size: 539564, seen: 824564
[fold] Processed 286000 orthos, queue size: 538564, seen: 824564
[fold] Processed 287000 orthos, queue size: 537564, seen: 824564
[fold] Processed 288000 orthos, queue size: 536564, seen: 824564
[fold] Processed 289000 orthos, queue size: 535564, seen: 824564
[fold] Processed 290000 orthos, queue size: 534564, seen: 824564
[fold] Processed 291000 orthos, queue size: 533564, seen: 824564
[fold] Processed 292000 orthos, queue size: 532564, seen: 824564
[fold] Processed 293000 orthos, queue size: 531623, seen: 824623
[fold] Processed 294000 orthos, queue size: 530682, seen: 824682
[fold] Processed 295000 orthos, queue size: 529800, seen: 824800
[fold] Processed 296000 orthos, queue size: 528800, seen: 824800
[fold] Processed 297000 orthos, queue size: 527800, seen: 824800
[fold] Processed 298000 orthos, queue size: 526800, seen: 824800
[fold] Processed 299000 orthos, queue size: 525800, seen: 824800
[fold] Processed 300000 orthos, queue size: 524800, seen: 824800
[fold] Processed 301000 orthos, queue size: 523800, seen: 824800
[fold] Processed 302000 orthos, queue size: 522800, seen: 824800
[fold] Processed 303000 orthos, queue size: 521800, seen: 824800
[fold] Processed 304000 orthos, queue size: 520800, seen: 824800
[fold] Processed 305000 orthos, queue size: 519800, seen: 824800
[fold] Processed 306000 orthos, queue size: 518800, seen: 824800
[fold] Processed 307000 orthos, queue size: 517800, seen: 824800
[fold] Processed 308000 orthos, queue size: 516800, seen: 824800
[fold] Processed 309000 orthos, queue size: 515800, seen: 824800
[fold] Processed 310000 orthos, queue size: 514800, seen: 824800
[fold] Processed 311000 orthos, queue size: 513982, seen: 824982
[fold] Processed 312000 orthos, queue size: 513005, seen: 825005
[fold] Processed 313000 orthos, queue size: 512514, seen: 825514
[fold] Processed 314000 orthos, queue size: 512072, seen: 826072
[fold] Processed 315000 orthos, queue size: 511750, seen: 826750
[fold] Processed 316000 orthos, queue size: 511564, seen: 827564
[fold] Processed 317000 orthos, queue size: 511397, seen: 828397
[fold] Processed 318000 orthos, queue size: 511159, seen: 829159
[fold] Processed 319000 orthos, queue size: 510909, seen: 829909
[fold] Processed 320000 orthos, queue size: 510678, seen: 830678
[fold] Processed 321000 orthos, queue size: 510402, seen: 831402
[fold] Processed 322000 orthos, queue size: 510002, seen: 832002
[fold] Processed 323000 orthos, queue size: 509753, seen: 832753
[fold] Processed 324000 orthos, queue size: 509415, seen: 833415
[fold] Processed 325000 orthos, queue size: 508985, seen: 833985
[fold] Processed 326000 orthos, queue size: 508877, seen: 834877
[fold] Processed 327000 orthos, queue size: 508685, seen: 835685
[fold] Processed 328000 orthos, queue size: 508431, seen: 836431
[fold] Processed 329000 orthos, queue size: 508493, seen: 837493
[fold] Processed 330000 orthos, queue size: 509093, seen: 839093
[fold] Processed 331000 orthos, queue size: 509537, seen: 840537
[fold] Processed 332000 orthos, queue size: 510110, seen: 842110
[fold] Processed 333000 orthos, queue size: 510792, seen: 843792
[fold] Processed 334000 orthos, queue size: 511022, seen: 845022
[fold] Processed 335000 orthos, queue size: 511860, seen: 846860
[fold] Processed 336000 orthos, queue size: 512542, seen: 848542
[fold] Processed 337000 orthos, queue size: 512172, seen: 849172
[fold] Processed 338000 orthos, queue size: 511172, seen: 849172
[fold] Processed 339000 orthos, queue size: 510172, seen: 849172
[fold] Processed 340000 orthos, queue size: 509172, seen: 849172
[fold] Processed 341000 orthos, queue size: 508172, seen: 849172
[fold] Processed 342000 orthos, queue size: 507172, seen: 849172
[fold] Processed 343000 orthos, queue size: 506172, seen: 849172
[fold] Processed 344000 orthos, queue size: 505172, seen: 849172
[fold] Processed 345000 orthos, queue size: 504172, seen: 849172
[fold] Processed 346000 orthos, queue size: 503172, seen: 849172
[fold] Processed 347000 orthos, queue size: 502172, seen: 849172
[fold] Processed 348000 orthos, queue size: 501172, seen: 849172
[fold] Processed 349000 orthos, queue size: 500172, seen: 849172
[fold] Processed 350000 orthos, queue size: 499172, seen: 849172
[fold] Processed 351000 orthos, queue size: 498172, seen: 849172
[fold] Processed 352000 orthos, queue size: 497323, seen: 849323
[fold] Processed 353000 orthos, queue size: 496705, seen: 849705
[fold] Processed 354000 orthos, queue size: 496409, seen: 850409
[fold] Processed 355000 orthos, queue size: 496133, seen: 851133
[fold] Processed 356000 orthos, queue size: 495747, seen: 851747
[fold] Processed 357000 orthos, queue size: 495268, seen: 852268
[fold] Processed 358000 orthos, queue size: 494413, seen: 852413
[fold] Processed 359000 orthos, queue size: 493961, seen: 852961
[fold] Processed 360000 orthos, queue size: 493208, seen: 853208
[fold] Processed 361000 orthos, queue size: 492249, seen: 853249
[fold] Processed 362000 orthos, queue size: 491301, seen: 853301
[fold] Processed 363000 orthos, queue size: 490340, seen: 853340
[fold] Processed 364000 orthos, queue size: 489535, seen: 853535
[fold] Processed 365000 orthos, queue size: 488928, seen: 853928
[fold] Processed 366000 orthos, queue size: 488348, seen: 854348
[fold] Processed 367000 orthos, queue size: 487980, seen: 854980
[fold] Processed 368000 orthos, queue size: 487688, seen: 855688
[fold] Processed 369000 orthos, queue size: 487575, seen: 856575
[fold] Processed 370000 orthos, queue size: 487111, seen: 857111
[fold] Processed 371000 orthos, queue size: 486648, seen: 857648
[fold] Processed 372000 orthos, queue size: 486254, seen: 858254
[fold] Processed 373000 orthos, queue size: 485577, seen: 858577
[fold] Processed 374000 orthos, queue size: 485440, seen: 859440
[fold] Processed 375000 orthos, queue size: 484689, seen: 859689
[fold] Processed 376000 orthos, queue size: 484043, seen: 860043
[fold] Processed 377000 orthos, queue size: 483231, seen: 860231
[fold] Processed 378000 orthos, queue size: 482411, seen: 860411
[fold] Processed 379000 orthos, queue size: 481611, seen: 860611
[fold] Processed 380000 orthos, queue size: 480763, seen: 860763
[fold] Processed 381000 orthos, queue size: 479918, seen: 860918
[fold] Processed 382000 orthos, queue size: 479150, seen: 861150
[fold] Processed 383000 orthos, queue size: 478395, seen: 861395
[fold] Processed 384000 orthos, queue size: 477683, seen: 861683
[fold] Processed 385000 orthos, queue size: 477055, seen: 862055
[fold] Processed 386000 orthos, queue size: 476777, seen: 862777
[fold] Processed 387000 orthos, queue size: 476485, seen: 863485
[fold] Processed 388000 orthos, queue size: 476114, seen: 864114
[fold] Processed 389000 orthos, queue size: 475998, seen: 864998
[fold] Processed 390000 orthos, queue size: 475723, seen: 865723
[fold] Processed 391000 orthos, queue size: 475520, seen: 866520
[fold] Processed 392000 orthos, queue size: 474714, seen: 866714
[fold] Processed 393000 orthos, queue size: 473880, seen: 866880
[fold] Processed 394000 orthos, queue size: 473038, seen: 867038
[fold] Processed 395000 orthos, queue size: 472176, seen: 867176
[fold] Processed 396000 orthos, queue size: 471314, seen: 867314
[fold] Processed 397000 orthos, queue size: 470503, seen: 867503
[fold] Processed 398000 orthos, queue size: 469734, seen: 867734
[fold] Processed 399000 orthos, queue size: 469162, seen: 868162
[fold] Processed 400000 orthos, queue size: 468563, seen: 868563
[fold] Processed 401000 orthos, queue size: 467977, seen: 868977
[fold] Processed 402000 orthos, queue size: 467433, seen: 869433
[fold] Processed 403000 orthos, queue size: 467140, seen: 870140
